player_id,player_name,Age,nationality,position,team_id,team_name,stats_id,established_year,coach_name,home_city,match_id,date,location,teamId_A,teamId_B,Score_A,Score_B,match_attendance,Goals,matches_played,tournament_Id,tournament_name,tournament_startDate,tournament_endDate,winner_teamId,VenueId,VenueName,capacity,SponsorshipId,SponsorName,ContractAmt,ContractStartDate,ContractEndDate,Injury_Id,InjuryDescription,InjuryDate,RecoveryTime,sale_id,item_id,SaleDate,Quantity,TotalSaleAmt,item_name,Price,StockQuantity
13,Vladimir Duckerin,15,Venezuela,Midfielder,93,Panthers,8043,1963,Fletch Piser,Carora,871,03/22/2005,Boncong,14,68,5,8,70491,10,3,61,Battle Royale Bash,01-02-1987,09-10-1980,7,47,Legendary Arena,22003,46,Deonne Roggieri,5324862,08/17/1985,05-11-2006,7,Groin Strain,05-02-2018,5,246,9,12/20/1994,510,18237,Coach Clipboard,580,8385
14,Adele Kachel,19,Macedonia,Forward,21,Falcons,8611,2005,Antoni Bilham,Dolna Banjica,987,10/31/1990,Gulbene,63,24,5,10,80134,4,85,24,Epic Clash Challenge,05/27/1980,07/26/1984,4,7,Mythical Museum,53366,93,Hercules Posvner,2560832,04-12-1987,07-05-2008,16,Facial Laceration,12/28/2019,10,2,2,06-09-2000,940,21469,Training Cones,502,9790
15,Clyde Fadden,16,China,Defender,42,Tigers,6998,2012,Glynis Boadby,Shicang,196,08/15/2015,Chamlykskaya,5,28,9,5,99537,9,10,36,Grand Arena Showdown,03/15/1993,02-04-2004,6,35,Mystic Meadow,42118,18,Florella Veronique,2028531,08/26/1980,04-03-2018,3,Shoulder Dislocation,11-03-2015,6,450,2,10/30/2002,472,35426,Team Scarf,894,5978
16,Sue Blissitt,15,China,Goalkeeper,94,Falcons,2362,2010,Ancell Nyles,Tanlin,853,06/21/2016,El Cardo,54,82,7,8,3603,5,32,4,Epic Clash Challenge,07-02-1998,08-05-2013,2,33,Azure Arena,23476,92,Adelind Thompkins,7080071,10/29/1990,10-12-1981,3,Pulled Quad,08/21/1992,9,828,6,11-01-2003,208,84270,Water Bottle Holder,817,4822
17,Greer Brettle,18,United States,Goalkeeper,9,Eagles,2465,2012,Adelheid Newe,Springfield,241,09/21/2009,Chłapowo,16,27,3,10,44836,4,58,18,Grand Arena Showdown,11-03-2002,04/18/1997,4,19,Titanium Terrace,89358,80,Brockie Hugueville,8434545,01-09-2000,04/26/2016,4,Rib Contusion,11-08-2014,5,872,8,09-11-2009,936,81300,Water Bottle Holder,951,1870
18,Zachery Garz,40,Afghanistan,Forward,8,Bears,651,1980,Ronny Dewerson,Kushk,673,08/19/2008,Kedawung,91,94,5,3,16169,0,49,88,Gladiator Games,05/13/1986,05/18/1985,3,40,Copper Coliseum,55970,54,Freddy Scola,923115,10/19/1995,02-02-2001,1,Pulled Quad,01-06-1998,9,849,4,10-12-2004,469,76803,Training Cones,184,2098
19,Lib Espasa,35,Kenya,Goalkeeper,5,Dragons,2453,2000,Greer Tarquini,Molo,27,05/30/1991,Kuivaniemi,95,35,3,6,93122,4,88,18,Supreme Showdown Series,10/29/1997,06/30/1988,3,2,Mythical Mine,81164,92,Helena Orcott,7579527,01/24/2012,01/28/1985,13,Turf Toe,08/29/2014,2,682,6,07-06-1998,901,21957,Referee Whistle,988,48
20,Corabelle Leftly,48,Yemen,Goalkeeper,63,Thunder,5202,1954,Danya Edgecumbe,Dhī Nā‘im,560,06-09-2019,Kangxung,50,25,4,2,9430,10,13,13,Ultimate Showdown,10-06-2006,02-12-2010,7,2,Titanium Terrace,48460,58,Bailie Greenham,2331981,03/20/1998,01-08-2017,12,Facial Laceration,07/28/1997,7,99,1,05/17/1981,401,60344,Water Bottle Holder,528,531
21,Phillie Ferreira,47,Brazil,Midfielder,3,Thunder,6773,1980,Juliet Desorts,Manoel Urbano,20,10/15/1996,Mabilang,3,2,1,4,25550,5,33,94,Supreme Showdown Series,07-08-2011,10-10-1982,8,25,Celestial Court,90581,98,Roland Sawkins,4445071,03-11-1980,05/24/2000,3,Turf Toe,05/31/2008,9,636,10,01/23/1985,776,20270,Water Bottle Holder,847,1343
22,Darcee Vigurs,45,Vietnam,Forward,55,Tigers,6533,2014,Billie Fancutt,Phú Vang,649,03-05-2003,Mancagahar,14,45,10,7,53087,9,80,68,Epic Clash Challenge,02-01-1988,05/29/1991,6,12,Mythos Field,55946,13,Bernadine Flintiff,8671474,06-11-2013,01/26/1984,20,Turf Toe,01/14/2008,2,692,3,01-02-1982,278,68976,Referee Whistle,121,5883
23,Wenda Filippazzo,16,Indonesia,Midfielder,69,Wolves,5073,1982,Mignon Howsam,Sidenreng,679,02/28/1985,Poxi,79,36,3,7,5787,2,95,17,Ultimate Showdown,09/23/2000,05/26/2013,10,6,Silver City Stadium,16085,23,Shelby Duke,9294971,09/14/1983,11-09-1990,19,Pulled Quad,09-01-2004,10,994,10,01/25/2002,391,27635,Soccer Ball,380,8070
24,Tamara Colman,36,Russia,Goalkeeper,37,Eagles,6002,1949,Kingsly Scheu,Muranovo,853,08/31/2007,Hägersten,1,50,4,7,37823,0,66,5,Ultimate Warrior Showdown,12/24/2008,10/28/2006,10,19,Mythical Market,86364,69,Alexandr Ogden,6653786,10-03-1981,05/13/2001,6,Calf Strain,08/15/2019,4,301,10,08-10-2021,398,8329,Training Cones,245,7660
25,Adria Brounsell,38,China,Defender,79,Panthers,2827,1944,Sheelah Kik,Dushan,822,04/29/2013,Słupno,74,63,1,5,1524,4,28,11,Gladiator Games,02-12-2012,06/25/2009,8,8,Legendary Arena,64838,37,Knox Espin,5940440,09-10-1993,05-05-2017,19,Groin Strain,04/13/2021,9,227,5,07/16/2007,416,47715,Team Scarf,442,8707
26,Lizzy Jado,46,Ukraine,Forward,71,Dragons,518,1991,Ward Schoenfisch,Borzna,162,07/20/2013,Sumber,82,6,7,5,53837,6,96,85,Ultimate Warrior Showdown,06-08-1984,05-12-2013,6,22,Moonlight Arena,37997,43,Larry Etheredge,5269515,07-02-1982,01/30/2015,4,Calf Strain,07-04-1983,6,811,6,01-01-2009,457,73046,Water Bottle Holder,743,8600
27,Melania Greggor,49,Russia,Forward,71,Lions,4293,1985,Jojo Stronough,Ossora,777,06/22/2008,Växjö,60,65,10,1,8547,3,52,77,Supreme Showdown Series,08-06-2005,08-02-2009,2,18,Titanium Terrace,4231,18,Corenda Whinray,4440268,07/14/1988,02-05-1990,10,Achilles Tendonitis,02/22/2000,8,931,1,01/28/1981,450,45986,Goalkeeper Gloves,489,1422
28,Becca Cottesford,17,United States,Midfielder,82,Panthers,2260,1948,Wilfrid Lissaman,Jackson,45,04/25/2001,Norrköping,21,62,4,10,93064,10,41,96,Gladiator Games,05-02-2021,09/28/1998,4,13,Mythical Marsh,3349,63,Deirdre Hampson,8529954,11-04-2014,07/31/2001,17,Torn ACL,06/20/1986,1,111,4,09-12-1993,725,50230,Football Jersey,530,4479
29,Janaya Janman,26,Philippines,Defender,0,Sharks,9691,1966,Welbie Santacrole,Malasugui,332,11/19/1984,Feteira Pequena,44,48,2,6,37577,7,30,22,Legendary Battle Royale,07/14/1990,01-10-2007,8,17,Sapphire Stadium,86287,27,Sutherlan Crowd,8830557,05/22/2011,01-12-1984,4,Ankle Sprain,08-09-1994,8,664,4,12/29/1980,817,85269,Stadium Seat Cushion,660,1817
30,Suzy Snibson,22,Peru,Forward,42,Sharks,6970,1963,Allyn Lowsely,Quinocay,783,08-04-2022,Magoúla,16,98,2,7,49676,2,91,100,Supreme Showdown Series,02/17/2018,08-02-1999,10,38,Azure Arena,59177,54,Alex Hughlock,3985974,11/27/2014,01-11-2017,13,Broken Arm,01/16/2000,11,307,6,10-11-1988,309,83807,Water Bottle Holder,855,3238
31,Marcos Orvis,38,Philippines,Midfielder,83,Lions,870,1997,Lyman Kach,Janagdong,454,11-06-2019,Fort Macleod,53,67,1,6,59859,3,9,61,Champion's Cup,09/17/2005,06/19/2016,10,46,Amber Arena,31787,89,Arabela Aitchinson,6230302,11-03-2023,12/17/2022,13,Knee Injury,07-04-1997,10,423,8,12-02-1999,841,52994,Sweatband Set,756,5445
32,Sallyanne Cracknell,34,China,Goalkeeper,11,Eagles,4885,2019,Peri Westphalen,Jundian,966,04/21/2023,Ikaalinen,85,100,1,2,77510,0,87,23,Ultimate Warrior Showdown,06/30/2006,03/22/1987,9,42,Whimsical Woods,25924,75,Abran Dussy,8787097,12/20/2006,01-12-2007,20,Plantar Fasciitis,06/29/2014,8,847,1,02-04-2012,966,33944,Football Jersey,378,3642
33,Charita Jeffray,30,Indonesia,Forward,21,Sharks,623,1999,Lila Coole,Oepula,120,12/22/2021,Hŭngnam,53,25,9,2,28824,1,37,41,Master's Duel,02/15/2003,06/13/2022,5,29,Violet Valley,87360,37,Franzen Prigmore,780936,04/13/2014,09-08-1994,10,Broken Arm,03-07-1988,9,341,3,02-06-1987,288,45303,Goalkeeper Gloves,913,8896
34,Amery Floch,35,Afghanistan,Midfielder,31,Panthers,335,1966,Dora Briance,Charikar,805,10-07-1980,Puerto Alto,9,82,3,7,53571,5,8,99,Ultimate Showdown,01-10-2015,01-12-1983,5,45,Mythical Museum,39244,8,Tannie Bruneton,719640,11-05-2009,01/28/2008,16,Groin Strain,05/13/2023,12,819,9,09/29/1993,918,83089,Stadium Seat Cushion,130,5219
35,Muhammad Deerr,49,Russia,Defender,55,Bears,6140,2016,Vinita Gullen,Gribanovskiy,360,09/15/2009,Silikatnyy,73,21,6,1,92770,0,43,4,Epic Clash Challenge,03-04-2020,11-02-2008,6,25,Amber Arena,60522,45,Gertie Tumioto,829222,12/13/2004,03/29/2012,3,Shin Splints,01/16/2024,5,782,8,04-03-2021,796,26600,Goalkeeper Gloves,650,5601
36,Gearalt Ingyon,14,China,Midfielder,60,Tigers,7486,1970,Marika Gookey,Jinjiang,298,12-05-2016,Siqian,93,33,10,2,41266,0,31,65,Supreme Showdown Series,04/18/2019,02/23/1982,6,13,Brass Ballpark,88282,65,Karoly Montez,1187294,12/19/2013,03-02-2015,7,Knee Injury,11-11-2008,7,499,6,08/23/1987,238,5773,Water Bottle Holder,402,5574
37,Abbey Ivamy,37,South Korea,Goalkeeper,25,Bears,3311,1969,Anitra Sharply,Kyosai,748,12/22/2006,Lukou,28,24,9,4,14135,8,78,27,Elite Championship Challenge,10/15/2017,01/15/2008,2,44,Dreamland Dome,10728,13,Omar Cuddy,479919,02-01-1993,11/19/2003,13,Groin Strain,06/29/1982,6,404,6,05-01-2012,572,68443,Referee Whistle,942,4628
38,Hanni Hilland,41,Portugal,Goalkeeper,94,Panthers,176,1941,Marjory Michiel,Baraçais,799,08-07-1992,Lücheng,88,100,1,4,12565,3,48,54,Supreme Showdown Series,04/18/2019,03/13/2021,1,18,Mythos Field,78807,21,Demetria Peagram,2431649,12/19/2014,03/18/1992,12,Neck Strain,11/29/1996,11,180,3,07/13/1983,609,7901,Sweatband Set,934,2240
39,Codie Tyre,14,China,Forward,1,Lions,7926,1966,Rriocard Warmisham,Guanyinsi,77,02-07-2014,Leeds,58,74,4,9,74102,4,59,75,Epic Clash Challenge,06-11-2020,08/23/2000,6,10,Titanium Terrace,43867,89,Dennison Bremner,951004,05/27/1998,01-11-2023,20,Broken Arm,12-09-2011,12,556,9,03-02-2013,533,45003,Sweatband Set,679,7138
40,Karrah Freund,19,China,Midfielder,95,Lions,4954,1955,Esma Kinlock,Xiangjiazhai,73,07/20/2010,Oporapa,6,54,2,5,84769,3,22,65,Master's Duel,10/13/1995,05-07-1985,10,17,Sapphire Stadium,63405,31,Lark Piscopello,4639714,07-05-1982,10-01-2010,19,Pulled Quad,09-10-1988,8,430,7,07-06-2002,990,61896,Soccer Ball,685,2076
41,Rania Grelik,44,Indonesia,Defender,92,Falcons,2881,1942,Estele Gebhard,Tanjung Raja,747,08-07-1984,Kajuru,73,22,10,10,81445,1,29,1,Ultimate Showdown,04-09-2015,03/16/2000,3,26,Platinum Pavilion,87379,44,Vonni Jeannon,51058,12/24/2003,07-11-1997,6,Knee Injury,04/16/1984,3,990,7,06/17/2009,179,47973,Soccer Ball,153,8867
42,Nerte Greeding,35,Indonesia,Forward,32,Eagles,8761,1970,Cordell Domenget,Garunggang,346,10/22/2005,Pangapisan,96,5,5,1,86667,10,6,73,Battle Royale Bash,03/21/1989,12-08-2002,6,46,Mythical Mansion,32337,54,Dotti Lytton,237911,12-08-1984,01/16/1986,20,Rib Contusion,07-02-2008,4,48,6,05-07-2006,29,6614,Stadium Seat Cushion,613,3301
43,Ekaterina Whitehair,39,Ukraine,Midfielder,51,Bears,4703,1962,Edithe Udale,Uman’,166,06/22/1998,Kavarna,27,59,9,2,91731,3,99,10,Epic Clash Challenge,09-04-2008,11/21/2020,10,10,Epic Stadium,11802,11,Benn Armitt,6382146,12/18/2007,05/31/2010,8,Facial Laceration,04/25/1983,3,6,8,11-10-1993,178,44855,Soccer Ball,423,5380
44,Irena Pedrozzi,39,Brazil,Forward,77,Wolves,533,1954,Sigismond Faughnan,Três Corações,780,05/20/2021,Chasŏng,8,33,10,9,16859,0,72,14,Ultimate Warrior Showdown,11/15/2009,08-06-1980,5,24,Celestial Court,87218,91,Any Jouanot,3762496,09/17/2023,03/20/2016,16,Shin Splints,12-09-2005,9,835,3,05/31/1980,286,47537,Referee Whistle,114,8833
45,Valery Meharg,41,China,Forward,35,Panthers,8101,1986,Lanita Pocklington,Changtang,559,03/24/2003,Rogachëvo,33,48,1,4,25649,0,99,3,Master's Duel,04/22/2017,06-07-2017,2,49,Ivory Field,52213,23,Bent Dell Casa,4394489,05/17/2005,08-06-2014,14,Shin Splints,05-02-2003,9,851,1,10-04-2011,31,24717,Football Jersey,540,8098
46,Katerina Chilcotte,42,China,Midfielder,27,Wolves,8735,2021,Nessi Grimmolby,Erhe,762,04-09-2013,Shkodër,90,22,5,7,77243,4,22,15,Grand Arena Showdown,03/26/2024,10-09-1980,1,14,Mythical Mansion,41708,52,Beverie Condy,4614530,02-04-1987,01/25/2003,5,Torn ACL,08/19/2010,3,19,2,06-09-2012,150,22088,Sweatband Set,200,573
47,Rosette Haster,14,Greece,Defender,30,Thunder,517,1998,Humphrey Hayfield,Diavatá,943,02/18/1985,Dibulla,23,5,2,5,57371,9,76,24,Ultimate Showdown,05/13/1994,06/23/2013,4,27,Neon Nexus,9735,6,Abner Angrock,815283,04-04-1985,09/18/1988,15,Turf Toe,08-02-2001,1,500,1,06/29/1996,78,97475,Soccer Ball,564,4755
48,Duff Peevor,18,Japan,Midfielder,73,Sharks,2173,1965,Suzy Tilsley,Sakura,127,02/18/1984,Pavliš,27,31,7,5,76485,6,64,27,Supreme Showdown Series,07/21/2017,10-02-2018,10,10,Neon Nexus,38530,58,Conrado Guinn,8262504,04-10-2011,06/21/2024,2,Torn ACL,04-10-2017,3,404,9,12/29/2006,426,71970,Football Jersey,484,9137
49,Genni Creamen,47,China,Forward,9,Tigers,5613,1971,Garvy Dunsford,Zhongdong,407,06/26/2007,Wanurian,75,31,3,3,90717,5,18,90,Legendary Battle Royale,03/16/2000,05-12-1986,10,11,Bronze Bowl,57440,4,Shelba Itzkovici,3278897,05-09-2021,02-01-2001,9,Facial Laceration,02-07-1990,2,260,5,06/13/2006,472,98111,Referee Whistle,340,705
50,Mariska Furminger,19,Philippines,Defender,16,Bears,9403,2014,Anica Kinglake,De la Paz,87,05/18/1993,Kirovgrad,97,62,1,7,30544,7,30,5,Grand Arena Showdown,02/18/2006,02/16/2011,2,14,Diamond Dome,4481,71,Fernande Spread,3027194,12-11-2004,07/19/2010,19,Pulled Quad,01/22/2023,10,953,4,07/25/1991,934,70263,Soccer Ball,545,6224
51,Roxanne Penddreth,15,France,Goalkeeper,89,Sharks,3633,1946,Rosemonde Pohl,Chennevières-sur-Marne,934,09-09-1984,Kaindy,3,10,10,4,6575,5,72,2,Master's Duel,06-07-2018,02/21/2012,5,3,Azure Arena,99147,51,Barris Skellion,7986861,02-06-1999,11/26/2007,5,Elbow Tendonitis,11-08-1995,10,292,5,02/26/2022,75,73065,Coach Clipboard,425,5860
52,Dominik Bellini,30,Peru,Midfielder,99,Panthers,2713,1951,Mill Blunderfield,Iberia,75,03-09-2017,Jibu,44,91,10,8,53527,1,94,28,Battle Royale Bash,09/13/1988,01/16/1991,6,38,Azure Arena,23748,75,Lyndsey Lyosik,2592062,09/23/1995,04-10-2018,20,Achilles Tendonitis,06/20/2024,4,21,9,06/23/1994,31,34377,Football Jersey,971,5220
53,Aleen Lecointe,43,Thailand,Goalkeeper,74,Sharks,1492,1970,Kay Jilliss,Pueai Noi,600,10/30/2010,Shangtuhai,55,48,4,4,58236,6,86,96,Legendary Battle Royale,10-03-1988,10/15/2010,8,29,Mythical Museum,61424,94,Koenraad Woffenden,9925261,07/28/2010,07/22/1983,11,Knee Injury,08/15/1981,5,48,5,04-09-2010,746,40734,Stadium Seat Cushion,101,3463
54,Dionysus Sicely,17,Lebanon,Defender,11,Panthers,8845,1976,Isidore Hurn,Ra’s Bayrūt,939,12/25/2015,Gapluk,32,20,4,4,19103,6,64,19,Gladiator Games,05-04-2006,09/13/1986,6,19,Mythical Mansion,91269,11,Faye Castellucci,9915295,09-11-1993,06/19/2022,3,Concussion,08/20/2024,2,445,2,01-10-2020,86,10520,Team Scarf,582,1179
55,Meagan Burmingham,31,United States,Midfielder,64,Panthers,2020,1965,Staci Corpe,Washington,35,12/16/1994,Bucheon-si,65,49,7,6,16042,9,38,65,Grand Arena Showdown,05/29/1999,10/20/1991,2,24,Brass Ballpark,98837,53,Karlan Pyburn,4213911,04-07-2008,03/29/2004,7,Hip Flexor Strain,07/26/2008,7,413,7,06/28/1980,488,34571,Water Bottle Holder,870,1065
56,Juliane Megarrell,41,Bosnia and Herzegovina,Forward,14,Thunder,3409,1994,Edik Ridsdole,Bihać,104,02-08-2016,Sukaratu,5,88,5,7,35635,10,55,73,Ultimate Warrior Showdown,01/30/2004,06/23/2015,10,18,Copper Coliseum,27712,83,Arabel Nickels,9081818,07/17/2015,01/19/2024,20,Calf Strain,07/30/1988,12,780,10,04/18/1986,741,57817,Football Jersey,216,3790
57,Marne Chaikovski,36,Sweden,Midfielder,69,Lions,2766,1985,Berti Bruhke,Askersund,272,10/24/1995,Santa Cruz,83,9,3,8,80500,4,17,72,Master's Duel,04-01-1997,03/15/2023,4,43,Obsidian Oval,6753,56,Caddric Pursey,2004358,02/13/1986,12/23/1996,20,Torn ACL,10-10-2004,1,284,7,06/16/2023,794,64894,Sweatband Set,680,8304
58,Stephi Obbard,33,Thailand,Goalkeeper,49,Panthers,2729,2014,Fransisco Mulvy,Na Tan,568,01-07-2020,Winong,11,2,6,1,24088,4,92,46,Legendary Battle Royale,04-12-2008,12-09-2022,8,43,Magical Mall,67471,88,Vinson Kondratovich,6567695,08-04-2016,09/13/1998,17,Concussion,08/14/2007,2,89,9,05-06-2016,230,83257,Water Bottle Holder,699,2657
59,Mahmud Benns,46,Colombia,Forward,69,Wolves,3446,2003,Dionne Smeed,Puerto Parra,486,07/22/2022,Ambanja,1,28,2,1,25887,0,8,42,Supreme Showdown Series,11-01-1997,12-02-2018,8,1,Fantasy Field,42117,70,Ursola Sparham,6353037,05/26/2019,08-05-1992,6,Neck Strain,09/21/2024,9,427,9,07/15/1998,823,36290,Goalkeeper Gloves,577,9627
60,Marena Deal,39,Indonesia,Forward,61,Eagles,3280,2001,Charles Sausman,Tundagan,43,08-09-2007,Hanggan,92,11,7,4,3735,10,5,78,Elite Championship Challenge,06-07-1992,02/28/2023,1,31,Obsidian Oval,22519,58,El Storey,2524898,10-05-2016,07/16/1984,14,Plantar Fasciitis,12-07-1999,4,440,2,01-01-2000,247,7447,Coach Clipboard,885,5996
61,Vail Pollicatt,15,Tunisia,Midfielder,62,Thunder,8270,1963,Morrie Band,Al Wardānīn,453,08-10-2002,Muhoroni,23,69,1,6,72181,6,98,91,Gladiator Games,11-11-2020,09/29/2013,2,25,Pixel Park,76264,27,Skelly Wegenen,821655,11/16/2023,12-05-2008,20,Ankle Sprain,04-12-2023,5,268,9,08/29/2011,885,36201,Soccer Ball,821,3616
62,Bruis Ucchino,47,Portugal,Goalkeeper,54,Tigers,4662,1971,Jeromy Ebbotts,Perelhal,937,09-01-1981,Storozhevaya,22,40,7,1,64600,4,33,94,Grand Arena Showdown,12/25/1999,02/25/2014,4,27,Starlight Park,66387,40,Yale Wooffinden,740182,08-04-1987,08/15/1981,10,Wrist Sprain,03-10-1982,9,486,7,06-04-2004,935,31318,Football Jersey,832,1810
63,Aprilette Evins,35,Brazil,Midfielder,72,Bears,7303,1986,Melisent Weatherley,Guará,149,06/23/2004,Kyŏngsŏng,46,51,9,6,86883,3,28,59,Master's Duel,01/31/2013,03/31/2019,10,43,Mythical Meadow,99757,2,Sebastian Vuitton,1966703,01/30/1984,10-12-1989,2,Turf Toe,01-08-2010,10,847,2,12/13/2013,17,92154,Stadium Seat Cushion,298,9850
64,Humfried Doonican,18,China,Forward,71,Falcons,1257,1959,Ban Doley,Jindong,373,12-06-2021,La Troncal,29,74,1,4,6983,2,71,6,Supreme Showdown Series,08-06-2014,11/20/1980,2,32,Titanium Terrace,74283,73,Bar McCrae,582576,05-06-2013,12/18/1991,2,Facial Laceration,03-02-1985,10,782,8,09/19/2005,89,45098,Sweatband Set,984,8539
65,Amaleta De Metz,39,Japan,Defender,61,Lions,3853,1944,Lidia Deboy,Kitami,997,01-05-1991,Pejukutan,62,29,9,6,2641,6,6,16,Elite Championship Challenge,09/22/2011,11/29/2023,2,15,Diamond Dome,62487,29,Devin Enderle,5809008,08/16/1985,05-11-1981,10,Torn ACL,09-03-2024,1,453,4,11/16/2004,355,30111,Goalkeeper Gloves,617,1068
66,Casper Pregal,49,Indonesia,Goalkeeper,49,Wolves,3136,1947,Shannan Law,Ngembel,333,12/31/1997,Neiba,88,46,5,5,86048,9,92,47,Ultimate Showdown,05-02-2019,02/22/1998,7,50,Neon Nexus,74899,67,Godfrey Slad,4580300,03-10-1996,09-06-1998,11,Shin Splints,06/24/2012,11,629,10,11/23/1984,915,60356,Football Jersey,353,6503
